Gameno,Group,TeamId,Continent,Opponent,Score,Win,Ranking202306,Formation,Position,Best,PassesAttempted,PassesCompleted,PassesCompletedPct,SwitchesOfPlay,CrossesAttempted,CrossesCompleted,LineBreaksAttempted,LineBreaksCompleted,LineBreaksCompletedPct,Ballprogressins,Takeone,StepIns,AttemptsatGoal,Goals,TotalOffers,InFront,InBetween,OutToIn,IntoOut,InBehind,NoMovement,OffersReceived,TacklesMade,TacklesWon,Blocks,Interceptions,PressingDirect,PressingIndirect,DuelsWonAerial,DuelsWonPhysical,PossessionContestsWon,Clearances,LooseBallReceptions,PushingOn,PushingOnIntoPressing,PossessionRegains,PossessionInterrupted,TotalDistance_m,WalkingDistance,JoggingDistance,RunningDistance,VeryHighSpeedDistance,MaxSprintDistance,HighSpeedRunCount,TopSpeedSprintCount,TopSpeed,TeamScore,Defenders,Midfielders,Forwards,TacklesWonPct,CrossesCompletedPct
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,Substitutions,5,3,0.6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,0,1567.2,550.4,392.6,351.2,119.4,153.4,31,15,29.7,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,GK,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,STARTING,39,32,82%,1,4,1,11,8,72%,0,0,0,2,0,45,7,19,2,2,14,1,5,3,1,2,1,2,7,3,0,3,4,10,10,4,5,4,9506.2,3259.7,3622.8,2299.6,262.4,61.8,162,25,29.6,0,4,4,2,33.33333333,25
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,STARTING,78,53,68%,1,8,1,35,19,54%,2,2,0,2,0,30,9,3,2,0,4,12,16,4,3,1,1,3,1,2,0,3,6,16,3,0,8,4,10324.4,4023.4,2845.4,2874.3,504.9,76.4,216,42,29,0,4,4,2,75,12.5
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,STARTING,35,21,60%,0,0,0,13,7,53%,0,0,0,1,0,81,27,24,4,8,11,7,15,5,0,3,0,3,16,3,0,3,4,9,13,6,4,9,11237.4,3890.4,4223,2516,398.9,209,185,35,27.6,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,STARTING,96,74,77%,0,7,1,33,17,51%,0,0,0,0,0,33,6,0,0,0,4,23,20,3,1,2,0,1,5,5,0,5,7,20,4,2,2,11,10353.7,3317.3,4016.2,2502.5,397.6,119.1,186,35,29,0,4,4,2,33.33333333,14.28571429
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,STARTING,23,19,83%,0,2,0,3,1,33%,1,0,1,1,0,62,4,33,3,3,9,10,18,0,0,1,0,2,14,1,0,1,1,6,18,10,1,1,5850.2,1585.4,2300.3,1589.5,337.6,37.4,129,27,28.3,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,STARTING,43,33,77%,2,2,2,17,11,64%,1,0,1,0,0,7,2,1,0,1,0,3,6,1,0,3,0,1,5,2,0,4,9,7,5,0,4,8,9311.8,3497.5,4293.7,1362.3,124.8,32.6,114,12,27,0,4,4,2,0,100
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,STARTING,74,62,84%,1,0,0,38,31,81%,6,0,6,1,0,35,8,0,0,1,4,22,16,0,0,1,3,4,2,3,0,3,6,12,7,2,7,4,9800.4,3934.9,3013.6,2100.2,532.2,218.5,167,44,31.2,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,FW,STARTING,39,30,77%,0,4,0,8,6,75%,4,3,1,2,0,21,1,4,3,3,5,5,5,3,3,4,0,5,13,0,0,1,1,7,11,5,7,0,11489.9,3451.6,4242.1,2732.3,773.3,290.7,203,64,32.1,0,4,4,2,100,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,FW,STARTING,18,13,72%,1,0,0,2,1,50%,0,0,0,4,0,48,1,19,0,5,23,0,3,1,0,2,0,2,13,5,0,5,1,7,13,6,0,2,9987.7,4146.9,3462.7,1714.9,339.6,323.6,166,38,30.6,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,STARTING,21,20,95%,0,3,0,6,6,100%,2,2,0,1,0,28,2,4,2,0,12,8,10,2,1,1,0,6,4,0,0,0,0,5,6,3,1,1,4981.7,1830.3,1610.6,1155.8,264,121.6,98,27,28.6,0,4,4,2,50,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,GK,STARTING,26,22,85%,0,0,0,10,7,70%,0,0,0,0,0,22,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,1,5,0,0,5,1,4626.9,3149.5,1255.3,222.1,0,0,0,0,22.2,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,GK,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,FW,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,Substitutions,25,22,88%,0,0,0,6,5,83%,0,0,0,0,0,40,7,11,4,4,9,5,14,1,0,2,0,3,6,2,0,2,3,3,10,5,0,3,5596,1737,2277.6,1376.1,147.7,57.6,114,14,29.8,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,Substitutions,17,14,82%,1,8,1,5,1,20%,4,1,3,1,0,48,3,6,1,1,26,11,11,0,0,1,0,0,5,0,0,1,1,3,4,3,1,0,5043.5,2012.8,1689.1,1051.6,225.9,63.5,94,20,27.5,0,4,4,2,0,12.5
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,FW,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,MF,Substitutions,4,3,75%,0,1,1,1,0,0,0,0,0,1,0,8,0,0,0,0,3,5,1,0,0,1,0,0,2,1,0,1,1,0,1,0,0,1,1562.7,397.2,649.6,412.6,64.4,38.9,39,9,26.7,0,4,4,2,0,100
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,FW,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
17,A,NEWZELAND,OFC,PHILIPPINES,0?€1,LOSE,26,4_4_2,GK,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
